afterStem,beforeStem
238,238
2382,2382
2398,2398
240,240
2408,2408
242,242
243,243
2438,2438
24455,24455
2456,2456
247,247
250,250
2505,2505
25309,25309
2531,2531
254,254
2544,2544
25781,25781
259,259
26110,26110
2617,2617
264,264
265,265
270,270
272,272
27271,27271
274,274
275,275
2795,2795
280,280
2838,2838
2845,2845
287,287
288,288
28873,28873
295,295
2958,2958
2min,2min
2p8bkrew,2p8bkrew
300,300
3000,3000
3025,3025
3036,3036
304,304
307,307
3076,3076
313,313
3188,3188
320,320
3251,3251
327,327
330,330
338,338
343,343
349,349
3492,3492
351,351
35277,35277
35332,35332
356,356
357473408,357473408
360,360
361,361
364,364
369,369
370,370
370716,370716
371,371
371793,371793
373,373
376,376
384,384
388,388
389,389
391,391
393,393
3932,3932
397,397
398,398
3do,3do
3rd,3rd
4'40,4'40
400,400
407,407
410,410
417,417
420,420
423,423
424,424
4240,4240
426,426
427,427
429,429
4292,4292
451,451
453,453
4534,4534
457,457
465,465
467,467
469,469
475,475
482,482
485,485
493,493
495,495
498,498
4994,4994
500,500
5000,5000
506,506
509,509
50e,50e
510,510
520,520
5211,5211
526,526
527,527
530,530
535,535
537,537
545,545
5478,5478
552,552
5544,5544
559,559
562,562
574,574
578,578
580,580
582,582
596,596
598,598
5min,5min
600,600
601,601
615,615
621,621
627,627
632,632
640,640
6416,6416
643,643
649,649
650,650
653,653
661,661
669,669
673,673
675,675
677,677
679,679
681,681
683,683
687,687
6joec5p1v,6joec5p1v
6th,6th
6ydewxho5,6ydewxho5
70',70's
702,702
711,711
720,720
722,722
724,724
730,730
736,736
739,739
73iotxqx2,73iotxqx2
7414,7414
766,766
768,768
791,791
803,803
805,805
806,806
809,809
81060,81060
821,821
826,826
827,827
837,837
8492,8492
8515,8515
852,852
855,855
858,858
861,861
868875,868875
869,869
882,882
894,894
898,898
8cm,8cm
8th,8th
9000,9000
9036,9036
9102,9102
918,918
92419,92419
927,927
931,931
932,932
940,940
953,953
9536,9536
957,957
965,965
968,968
973,973
977,977
985,985
9min,9min
a,aeds
a1c,a1c
a300,a300
aaa,aaas
aaat,aaate
aal,aal
aami,aami
aaq,aaq
aasef,aasef
abandon,abandoning
abbrevi,abbreviations
abcno,abcno
abdomin,abdominal
abdominu,abdominus
abduct,abduction
abe,abe
aberr,aberrations
abi,abi
abil,ability
abl,able
abnorm,abnormality
absenc,absence
absente,absenteeism
absolut,absolute
absorb,absorbed
absorpt,absorption
abstract,abstracts
abund,abundant
abus,abuse
academ,academic
academi,academy
academia,academia
acc,acc
acceler,acceleration
accelerateiq,accelerateiq
acceleromet,accelerometers
accelerometri,accelerometry
accept,acceptance
access,access
accid,accident
accident,accidental
accommod,accommodate
accompani,accompanying
accomplish,accomplished
accord,according
accordingli,accordingly
account,account
accru,accrue
accumul,accumulated
accur,accurate
accuraci,accuracy
accustom,accustomed
achiev,achieved
achil,achilles
aci7,aci7
acid,acid
acknowledg,acknowledged
acl,acl
acm,acm
acoust,acoustic
acquaint,acquaintance
acquir,acquire
acquisit,acquisition
across,across
acryl,acrylic
acryloyloxyethyl,acryloyloxyethyl
act,act
actibelt,actibelt
actigraph,actigraph
actigraphi,actigraphy
actiheart,actiheart
action,actions
activ,activities
activinsight,activinsights
actiwatch,actiwatch
actor,actors
actrn12616000350426,actrn12616000350426
actrn12616000899448,actrn12616000899448
actrn12616001555448,actrn12616001555448
actual,actual
actuat,actuation
acuiti,acuity
acumen,acumen
acupebble_sa100,acupebble_sa100
acupebble_sa100',acupebble_sa100's
acut,acute
ad,adding
ada,ada
adapt,adaptations
add,add
addict,addiction
addit,additionally
address,addressing
adduct,adducted
adequ,adequate
adhd,adhd
adher,adherence
adhes,adhesive
adject,adjective
adjunct,adjunctive
adjust,adjusting
adl,adl
administ,administered
administr,administration
admiss,admission
admit,admitted
adolesc,adolescence
adolescents',adolescents'
adopt,adopted
adrd,adrd
adsorpt,adsorption
adult,adults
adulthood,adulthood
adults',adults'
advanc,advanced
advantag,advantages
advers,adverse
adversari,adversarial
advertis,advertising
advic,advices
advis,advises
advisori,advisory
advoc,advocated
aecopd,aecopd
ael,aels
aerosp,aerosp
aerospac,aerospace
aesthet,aesthetics
af',af's
afar,afar
affair,affair
affect,affecting
affer,afferent
affili,affiliated
affin,affinity
afford,afford
aforement,aforementioned
africa,africa
african,african
afternoon,afternoon
afterward,afterwards
aga,aga
agcl,agcl
age,aged
agenc,agency
agency',agency's
agenda,agenda
agent,agent
aggrav,aggravated
aggreg,aggregate
aggress,aggressive
agil,agile
agit,agitation
agln250,agln250
agre,agreed
agreement,agreement
ahead,ahead
ahi,ahi
aid,aid
aidan,aidan
aim,aims
air,air
airflow,airflow
airway,airway
aka,aka
akin,akin
alarm,alarms
albeit,albeit
alcohol,alcohol
aleator,aleatoric
alert,alerts
alexa,alexa
algorithm,algorithms
algorithm',algorithm's
align,aligned
alik,alike
alivecor,alivecor
allergi,allergies
allevi,alleviating
alli,allied
allianc,alliance
alloc,allocation
allow,allowed
alloy,alloy
allumo,allumo
almost,almost
alon,alone
along,along
alongsid,alongside
aloud,aloud
alpha,alpha
alreadi,already
also,also
altec,altec
alter,alterations
altern,alternative
although,although
altman,altman
altogeth,altogether
alway,always
alzheim,alzheimer
alzheimer',alzheimer's
am,ams
amazon,amazon
ambient,ambient
ambigem,ambigem
ambival,ambivalence
ambul,ambulance
ambulatori,ambulatory
ame,amed
amelior,ameliorating
amen,amenable
amend,amendments
america,america
american,american
amey',amey's
amin,amine
amnest,amnestic
among,among
amongst,amongst
amorph,amorphous
amount,amount
amp,amp
amplifi,amplifier
amplitud,amplitudes
amput,amputated
ampute,amputees
ams',ams'
amstar,amstar
amsterdam,amsterdam
amulet,amulet
anaesthesia,anaesthesia
anaesthet,anaesthetic
analog,analog
analogu,analogue
analys,analyses
analysi,analysis
analyt,analytics
analyz,analyzed
anatom,anatomical
anatomi,anatomy
anatomo,anatomo
anc,anc
ancillari,ancillary
anderson,anderson
androguard,androguard
android,android
anecho,anechoic
anemia,anemia
anesthesiolog,anesthesiology
anesthesiologist,anesthesiologists
anger,anger
angiogram,angiograms
angl,angle
angular,angular
anim,animated
anisotrop,anisotropic
ankl,ankle
anklet,anklet
ann,ann
annex,annex
anniversari,anniversary
annot,annotations
announc,announced
annoy,annoying
annual,annual
anomali,anomalies
anoth,another
anova,anovas
answer,answers
ant,ant
antagonist,antagonist
antenna,antenna
anterior,anterior
anthropomorph,anthropomorphic
anti,anti
anticanc,anticancer
anticip,anticipate
antiepilept,antiepileptic
antipathogen,antipathogen
anxieti,anxiety
anxiou,anxious
anyhow,anyhow
anyth,anything
anytim,anytime
anywher,anywhere
anzctr,anzctr
apa,apa
apart,apart
apd,apd
apertur,aperture
aphas,aphasics
aphasia,aphasia
aphastori,aphastory
apnea,apnea
apnoea,apnoea
app,app
app',app's
appar,apparent
apparatu,apparatus
appeal,appealing
appear,appears
appl,apple
appli,applying
applianc,appliances
applic,applications
applicationsresult,applicationsresults
appoint,appointment
apprais,appraise
appreci,appreciated
approach,approach
appropri,appropriate
approv,approved
approxim,approximately
april,april
arat,arat
arbitrari,arbitrary
arch,arching
architectur,architecture
archiv,archived
arduino,arduino
area,areas
arena,arena
argu,argue
argument,argument
aripiprazol,aripiprazole
aris,arise
arithmet,arithmetic
arksey,arksey
arm,arm
arm',arm's
armband,armband
armour,armour
armour',armour's
armt,armt
aros,arose
around,around
arous,arousal
arquilla,arquilla
arrang,arrangement
array,array
arrest,arrest
arrhythmia,arrhythmias
arriv,arrival
arrow,arrow
art,art
artefact,artefacts
arteri,arterial
arthriti,arthritis
arthroplasti,arthroplasty
articl,articles
articul,articulate
artifact,artifacts
artifici,artificial
artist,artists
ascent,ascent
ascertain,ascertain
asd,asd
ashworth,ashworth
asia,asia
asic,asic
asid,aside
ask,asked
aspect,aspects
aspir,aspirations
aspx,aspx
ass,asses
assembl,assembled
assemblag,assemblages
assess,assessment
assessmentbas,assessmentbased
assign,assigned
assist,assistive
associ,associated
assum,assume
assumpt,assumption
assur,assures
ast,ast
asthma,asthma
asthma',asthma's
astronaut,astronaut
astronaut',astronaut's
asymmetr,asymmetric
asymmetri,asymmetry
asymptomat,asymptomatic
asynchron,asynchronous
at,ats
ata,ata
atc,atcs
atd,atd
athlet,athletes
athlete',athlete's
athletes',athletes'
atr,atr
atrial,atrial
attach,attached
attack,attacks
attain,attainment
attempt,attempted
attend,attended
attent,attention
attenu,attenuation
attitud,attitudes
attorney,attorneys
attract,attractive
attribut,attributed
attrit,attrition
aub,aub
aud,aud
audienc,audience
audio,audio
audiolog,audiologic
audiotap,audiotaped
audiovisu,audiovisual
audit,audits
auditori,auditory
augment,augmenting
august,august
aura,aura
auster,austere
australia,australia
australian,australians
authent,authentic
author,authors
authors',authors'
autism,autism
auto,auto
autoimmun,autoimmune
autom,automated
automat,automatically
automot,automotive
autonom,autonomous
autonomi,autonomy
autopsi,autopsy
autoregress,autoregressive
auxet,auxetics
auxiliari,auxiliary
avail,available
avalanch,avalanche
avatar,avatar
avenu,avenues
averag,average
avers,aversion
avert,averting
aviv,aviv
avoid,avoid
awak,awake
awaken,awakened
awar,awareness
away,away
away',away'
axi,axis
axial,axial
axillari,axillary
aya,aya
babi,baby
back,back
backdrop,backdrop
background,background
backlight,backlight
backlog,backlogs
bacteria,bacteria
bactrack,bactrack
badg,badge
bag,bag
balanc,balanced
balloon,balloon
band,band
bandpass,bandpass
bandwidth,bandwidths
bank,bank
bar,bars
barbel,barbell
barcelona,barcelona
barium,barium
baropodometr,baropodometric
barrier,barriers
basal,basal
base,based
baselin,baseline
basi,basis
basic,basic
batch,batch
bath,bath
batio3,batio3
batteri,battery
bayesian,bayesian
bbt,bbt
bbti,bbti
bci,bci
bct,bct
be,beings
bear,bearing
beat,beat
beatwalk,beatwalk
becam,became
becom,becoming
bed,bed
bedsid,bedside
beforehand,beforehand
began,began
begin,beginning
beginn,beginner
begun,begun
behavior,behavior
behaviour,behaviours
behind,behind
beij,beijing
beirut,beirut
belgium,belgium
belief,beliefs
believ,believe
bell,bell
belong,belonging
belt,belt
bench,bench
benchmark,benchmarking
bend,bending
benefici,beneficial
beneficiari,beneficiary
benefit,benefits
beniczki,beniczky
benson,benson
berg,berg
besi,besi
besid,besides
bespok,bespoke
best,best
beta,beta
better,better
beverag,beverage
beyond,beyond
bh,bhs
bia,bias
bias,biased
bicep,biceps
bicycl,bicycle
bidirect,bidirectionally
big,big
biggest,biggest
bike,bike
bilater,bilateral
billerica,billerica
billion,billion
bimanu,bimanual
binari,binary
bind,bind
bio,bio
bioactiv,bioactive
biobas,biobase
biobehavior,biobehavioral
biochem,biochemical
biocompat,biocompatible
biocu,biocueing
biodecontamin,biodecontamination
bioelectr,bioelectrical
biofeedback,biofeedback
biofeedback',biofeedback's
biofuel,biofuel
biohar,bioharness
bioimped,bioimpedance
bioinspir,bioinspired
biolog,biologic
biomark,biomarker
biomech,biomech
biomechan,biomechanical
biomed,biomedical
biometr,biometric
biopatch,biopatch
biophysiolog,biophysiological
biopotenti,biopotential
biopsychosoci,biopsychosocial
biosensor,biosensors
biosign,biosignals
biostamp,biostamp
biostamp_rc,biostamp_rc
biovot,biovotion
biped,bipedal
bipolar,bipolar
birkbeck,birkbeck
birth,birth
biseri,biserial
bit,bit
bite,bite
black,black
bladder,bladder
bland,bland
blank,blanks
ble,ble
bleed,bleeding
blend,blend
blind,blind
blindfold,blindfolded
block,blocks
blockag,blockage
blood,blood
blue,blue
blueprint,blueprint
bluetooth,bluetooth
blurri,blurriness
bmi,bmi
bni,bni
bnt,bnt
board,boards
bodi,body
bodili,bodily
boil,boiling
bolster,bolster
bolu,bolus
bond,bonds
bone,bones
boolean,boolean
boost,boost
boot,boot
border,border
borderlin,borderline
bore,boring
borg,borg
born,borne
boston,boston
bottl,bottle
bottom,bottom
bound,bound
boundari,boundaries
bout,bouts
bowden,bowden
box,boxing
boy,boys
bpa,bpas
bpm,bpm
brac,brac
bracelet,bracelet
brachii,brachii
bradycardia,bradycardia
bradykinesia,bradykinesia
bragg,bragg
braid,braiding
brain,brain
brake,brakes
brand,brands
braun,braun
breadth,breadth
break,breaking
breakdown,breakdown
breakfast,breakfast
breakthrough,breakthrough
breast,breast
breath,breathing
breathabl,breathable
breathe',breathe's
bridg,bridging
bridge',bridge's
brief,brief
briefli,briefly
bright,brightness
brightli,brightly
bring,bringing
british,british
broad,broad
broadband,broadband
broaden,broadening
broader,broader
broadli,broadly
brodi,brody
broken,broken
bromley,bromley
brook,brooks
broth,broth
brought,brought
brows,browsing
bruce,bruce
brush,brush
bse,bses
btc,btcs
bu,bus
buckl,buckle
budget,budget
bug,bugs
build,build
builder,builders
built,built
bulk,bulk
bulki,bulky
bullet,bullet
bundl,bundling
burden,burden
burdensom,burdensome
burgeon,burgeoning
burst,bursts
busi,business
button,buttons
buy,buy
buyer,buyers
bw,bws
bytefli,byteflies
c30,c30
cabl,cable
cadenc,cadence
calcium,calcium
calcul,calculated
calendar,calendar
calf,calf
calibr,calibrating
california,california
call,calls
calor,caloric
calori,calorie
cam,cam
came,came
camera,camera
camera',camera'
camp,camp
campaign,campaign
camptocormia,camptocormia
campu,campus
canada,canada
canadian,canadian
canal,canal
cancel,cancellation
cancer,cancer
candid,candidate
cane,canes
cannot,cannot
canopi,canopy
canva,canvas
cap,cap
capabl,capabilities
capac,capacities
capacit,capacitive
capacitor,capacitor
capillari,capillary
capit,capitalizing
capnostream,capnostream
capnostream35,capnostream35
capsul,capsule
captur,capturing
car,cars
carbon,carbon
carboxyl,carboxylic
carcinoma,carcinoma
card,card
cardiac,cardiac
cardiolog,cardiology
cardiologist,cardiologists
cardiopulmonari,cardiopulmonary
cardiorespiratori,cardiorespiratory
cardiovascular,cardiovascular
care,care
career,career
caregiv,caregiver
caregivers',caregivers'
carer,carers
carers',carers'
caretak,caretakers
carlo,carlo
carotid,carotid
carri,carried
carriabl,carriable
carryabl,carryable
case,cases
casual,casual
casualti,casualty
catalyst,catalyst
catastroph,catastrophizing
categor,categorization
categori,categories
cathet,catheter
catom,catom
caus,cause
causat,causation
caution,caution
cautiou,cautious
cautious,cautiously
cbi,cbi
cbti,cbti
ccclin,ccclin
cd,cds
cdi,cdi
cell,cells
cellular,cellular
cellulos,cellulose
censor,censored
center,centered
centered,centeredness
centr,centre
central,central
centric,centric
centro,centro
centuri,century
cerebr,cerebral
cerebri,cerebri
certain,certain
certainti,certainty
certifi,certified
cervic,cervical
cessat,cessation
ceu,ceu
cfi,cfi
cfr,cfr
cg,cgs
cgm,cgm
cgmanalysi,cgmanalysis
cgmanalyz,cgmanalyzer
cgmquantifi,cgmquantify
cgmstatsanalys,cgmstatsanalyser
chain,chain
chair,chair
challeng,challenges
chamber,chamber
champ,champ
champion,champions
chan,chan
chanc,chance
chang,changes
changer,changers
channel,channel
chapter,chapter
character,characterization
characterist,characteristics
charcot,charcot
charg,charge
chart,charted
charter,chartered
chatbot,chatbots
chd,chd
cheap,cheap
cheaper,cheaper
cheat,cheat
check,checked
checklist,checklist
chedok,chedoke
chemic,chemical
chemotherapi,chemotherapies
chest,chest
chew,chewing
chf,chf
chi,chi
chictr,chictr
chief,chief
child,child
child',child's
childbirth,childbirth
childhood,childhood
children,children
children',children's
china,china
chines,chinese
chip,chip
choic,choice
cholesterol,cholesterol
choos,choosing
chosen,chosen
chromat,chromatic
chronic,chronic
chronicl,chronicle
chronolog,chronological
cht,cht
chw,chws
ci,cis
cialdini',cialdini's
cidi,cidi
cigarett,cigarette
cinahl,cinahl
ciphertext,ciphertext
circ,circ
circuit,circuits
circul,circulation
circular,circular
circularli,circularly
circulatori,circulatory
circumfer,circumference
circumst,circumstances
circumstanti,circumstantial
circumv,circumvent
cisgend,cisgender
citat,citations
cite,cited
citi,city
citizen,citizens
citronella,citronella
ciuma,ciumas
claim,claiming
clamp,clamping
clarifi,clarify
clarion,clarion
clariti,clarity
clark,clark
clasp,clasps
class,classes
classic,classical
classif,classification
classifi,classified
claw,claw
clean,clean
clear,clear
clearanc,clearance
clearer,clearer
clearli,clearly
clemson,clemson
click,click
client,clients
climb,climbing
clincaltri,clincaltrials
clinic,clinical
clinicaltri,clinicaltrials
clinician,clinicians
clinicians',clinicians'
clip,clip
clock,clocks
clonic,clonic
close,close
closer,closer
closest,closest
closur,closure
cloth,clothing
cloud,cloud
clue,clues
clumsi,clumsy
cluster,clustered
clínic,clínic
cm2,cm2
cmo,cmos
cnibp,cnibp
cnn,cnn
coach,coaches
coat,coated
cochran,cochrane
code,coding
coder,coders
codesign,codesigners
coeffici,coefficients
coencapsul,coencapsulated
coffe,coffee
cofound,cofounder
cognit,cognitive
cogniz,cognizant
cogwheel,cogwheel
coher,coherence
cohort,cohorts
cohort',cohort's
coincid,coinciding
colaborar,colaborar
coli,coli
collabor,collaborative
collar,collars
collect,collection
collector,collector
colleg,college
collis,collision
colloqui,colloquial
colon,colon
coloni,colony
color,colors
columbu,columbus
column,column
com,com
combat,combat
combin,combining
come,comes
comfort,comfort
command,commands
commeit,commeits
commenc,commence
comment,comment
commentari,commentary
commerci,commercially
commiss,commissioned
commit,committed
committe,committee
commod,commodity
common,common
commonest,commonest
commonli,commonly
commun,communicates
communic,communicable
comorbid,comorbid
compact,compact
compani,companies
companion,companion
compar,compared
comparison,comparison
compat,compatible
compel,compelling
compendex,compendex
compens,compensation
compensatori,compensatory
compet,competing
competit,competition
compil,compiles
complaint,complaints
complement,complement
complementari,complementary
complet,completed
complex,complexity
compli,complies
complianc,compliance
compliant,compliant
complic,complication
compon,components
compos,compose
composit,composition
compound,compound
comprehend,comprehend
comprehens,comprehensive
compress,compress
compris,comprised
compromis,compromises
comput,computing
computer,computerized
con,con
concaten,concatenated
conced,concede
conceiv,conceivable
concentr,concentration
concept,concept
conceptu,conceptual
concern,concerns
concert,concert
conclud,concluded
conclus,conclusion
concord,concordance
concret,concrete
concurr,concurrent
cond,cond
condit,conditions
conduct,conduct
confer,conference
confid,confidence
confidenti,confidentiality
configur,configuration
confin,confined
confirm,confirm
confirmatori,confirmatory
conflict,conflicting
conform,conformability
confound,confounded
confront,confronted
confus,confused
congenit,congenital
congest,congestive
congress,congress
congruent,congruent
conjunct,conjunction
connect,connected
connected,connectedness
consciou,conscious
conscious,consciousness
consecut,consecutively
consensu,consensus
consent,consent
consequ,consequences
conserv,conservative
consid,consider
consider,consideration
consist,consistently
consol,console
consolid,consolidated
consort,consort
consortium,consortium
constant,constant
constantli,constantly
constitut,constitute
constrain,constrained
constraint,constraints
construct,constructed
consult,consultation
consum,consuming
consumer',consumer's
consumpt,consumption
contact,contact
contact',contact'
contagi,contagious
contain,containers
contamin,contaminated
contemporari,contemporary
content,content
contest,contestants
context,contexts
contextu,contextualize
conting,contingent
continu,continuously
continuum,continuum
contract,contract
contractil,contractility
contrapt,contraptions
contrari,contrary
contrarili,contrarily
contrast,contrast
contribut,contributed
contributor,contributors
control,controlled
conveni,convenience
convent,conventional
converg,convergent
convers,conversations
convert,convert
convex,convex
convey,convey
convinc,convincing
convolut,convolutional
convuls,convulsive
cook,cooking
cool,cooling
coordin,coordinates
copd,copd
cope,coping
copi,copies
copm,copm
copper,copper
cord,cord
core,core
coreq,coreq
corner,corners
cornerston,cornerstone
coron,coronal
coronari,coronary
coronaviru,coronavirus
corp,corp
corpor,corporation
corpu,corpus
correct,corrected
correctli,correctly
correl,correlation
correspond,correspondence
correspondingli,correspondingly
corridor,corridor
corrupt,corrupt
cortex,cortex
cortic,cortical
cortisol,cortisol
cosinuss,cosinuss
cosmet,cosmetic
cost,cost
costli,costly
cotton,cotton
cough,cough
could,could
council,council
counsel,counselling
count,counts
counter,counter
counteract,counteract
counterbalanc,counterbalanced
countermeasur,countermeasures
counterpart,counterparts
countri,countries
coupl,coupling
cours,course
cov,cov
cov2,cov2
covari,covariance
cover,covered
coverag,coverage
covet,coveted
covid,covid
cpb,cpb
cpi,cpi
cr,crs
cr10,cr10
craft,craft
cranial,cranial
craniocerv,craniocervical
crave,craving
crd42021240645,crd42021240645
creat,created
creation,creation
creativ,creativity
credibl,credibility
creu,creu
crew,crewed
cri,cris
crise,crises
crisi,crisis
criteria,criteria
criterion,criterion
critic,critical
critiqu,critiqued
cronbach,cronbach
cross,cross
crosslink,crosslinked
crossov,crossover
crowdsourc,crowdsourcing
crucial,crucial
cruciat,cruciate
cryptograph,cryptographic
crystal,crystal
crystallin,crystalline
cs2tei6,cs2tei6
csq,csq
csv,csv
ct2,ct2
cta,cta
ctrl,ctrl
cuboid,cuboid
cue,cues
cuff,cuff
cuffless,cuffless
culmin,culminated
cultur,cultural
cumbersom,cumbersome
cumul,cumulative
cup,cup
curabl,curable
curat,curated
cure,curing
current,current
curriculum,curriculums
cursor,cursors
curv,curved
curvatur,curvature
curvilinear,curvilinear
custom,customized
customis,customised
customiz,customizability
cut,cutting
cutoff,cutoff
cvd,cvd
cvsm,cvsm
cybathlon,cybathlon
cyber,cyber
cybersecur,cybersecurity
cycl,cycle
cyclic,cyclic
cyclodextrin,cyclodextrin
cylindr,cylindrical
cystectomi,cystectomy
czech,czech
daili,daily
daisi,daisy
dall,dalled
damag,damage
dana,dana
danc,dance
dancer,dancer
dancer',dancer's
danger,danger
daniel,daniel
danish,danish
dartmouth,dartmouth
dash,dash
dashboard,dashboards
data,data
data',data's
databas,databases
dataset,dataset
date,date
day,days
daytim,daytime
db,dbs
dbn,dbn
dbp,dbp
dbs',dbs's
deactiv,deactivated
deadlift,deadlifts
deal,deal
death,death
debat,debate
debilit,debilitating
debug,debug
decad,decades
decay,decay
decemb,december
decent,decent
decentr,decentralized
decid,deciding
decis,decisions
declar,declared
declin,decline
declutt,decluttering
decod,decoding
decompens,decompensation
decomposit,decomposition
deconstruct,deconstructed
decontamin,decontamination
decreas,decreased
dedic,dedicated
deduc,deduced
deduct,deductive
dedupl,deduplication
deem,deemed
deep,deep
deeper,deeper
deepli,deeply
default,default
defeat,defeats
defect,defective
defend,defend
defici,deficiency
deficit,deficits
defin,defining
definit,definition
deform,deformity
deg,deg
degen,degenerative
degrad,degrade
degre,degree
dehydr,dehydration
deidentifi,deidentified
delay,delaying
deliber,deliberately
delic,delicate
deliv,delivering
deliveri,delivery
delphi,delphi
delta,delta
demand,demands
dementia,dementia
democrat,democratic
demodul,demodulation
demograph,demographic
demonstr,demonstrated
denmark,denmark
dens,dense
densiti,density
dental,dental
depart,department
depend,depending
deplet,depletion
deploy,deployment
depress,depression
depth,depth
der,der
deriv,derived
dermat,dermatitis
dermatolog,dermatology
derr1,derr1
desatur,desaturation
describ,describe
descript,descriptive
descriptor,descriptors
deserv,deserves
design,design
desir,desired
desktop,desktop
desper,desperately
despit,despite
destabil,destabilization
destin,destinations
destruct,destruction
detach,detachable
detail,detailed
detect,detection
detector,detector
deterior,deteriorating
determin,determining
detract,detracts
detriment,detrimental
devast,devastating
develop,develop
development,developmental
deviat,deviation
devic,device
device',device's
devices',devices'
devis,devising
dexter,dexterity
dextrou,dextrous
dfu,dfu
dhc,dhc
dht,dhts
diabet,diabetes
diabetologist,diabetologist
diagnos,diagnosed
diagnosi,diagnosis
diagnost,diagnostic
diagram,diagrams
dialog,dialog
dialogu,dialogue
dialysi,dialysis
diamet,diameter
diaper,diaper
diari,diaries
diastol,diastolic
diaz,diaz
diclofenac,diclofenac
dictaphon,dictaphone
diet,diet
dietari,dietary
dietet,dietetic
diff,diffe
differ,differences
differenti,differentiated
difficult,difficult
difficulti,difficulties
diffus,diffusion
digit,digital
digiwalk,digiwalker
digniti,dignity
dimens,dimensions
dimension,dimensional
dimethylsiloxan,dimethylsiloxane
diminish,diminish
din,din
dinner,dinner
diod,diode
diphosph,diphosphate
direct,direct
directli,directly
disabl,disability
disadvantag,disadvantages
disagr,disagreements
disagre,disagreed
disappear,disappear
disappoint,disappointment
disassembl,disassembled
disast,disaster
discard,discard
discern,discerned
discharg,discharge
disciplin,disciplines
discomfort,discomfort
disconnect,disconnection
discontinu,discontinued
discord,discordant
discov,discover
discoveri,discoveries
discreet,discreetness
discrep,discrepancies
discret,discrete
discrimin,discrimination
discriminat,discriminat
discuss,discussion
diseas,diseases
dishwash,dishwasher
disinfect,disinfection
dislik,dislikes
dislodg,dislodgment
disoproxil,disoproxil
disord,disorders
disorient,disorientation
dispar,disparities
dispens,dispensers
dispers,dispersion
displac,displacements
display,display
dispos,disposable
disproportion,disproportionate
disregard,disregard
disrupt,disrupt
disruptor,disruptor
dissatisfact,dissatisfaction
dissatisfi,dissatisfied
dissect,dissection
dissemin,dissemination
dissip,dissipate
distal,distal
distanc,distance
distant,distant
distil,distill
distinct,distinct
distinguish,distinguishing
distort,distortion
distract,distraction
distress,distress
distribut,distribution
district,districts
disturb,disturbances
diverg,divergent
divers,diverse
diversifi,diversify
divid,divided
divis,division
dizzi,dizziness
dm,dms
doctor,doctors
doctor',doctor's
document,documented
dof,dof
doff,doff
doi,doi
dollar,dollars
domain,domains
domest,domestic
domin,dominate
domocar,domocare
don,donning
done,done
donor,donor
door,doors
dopaminerg,dopaminergic
dope,doped
doppler,doppler
dorsiflexor,dorsiflexors
dorv,dorv
dosag,dosage
dose,doses
dot,dots
doubl,double
download,download
dozen,dozens
dp,dps
dpss,dpss
draft,drafting
drainag,drainage
drastic,drastically
draw,drawing
drawback,drawbacks
drawn,drawn
dress,dressing
dresser,dresser
dresser',dresser'
dri,dry
drift,drift
drink,drinking
drive,drive
